date,entry_price,exit_price,profit,profit_pct,direction,holding_days,rank
2026-03-27 00:00:00+05:30,23275.991601562502,22713.099609375,562.8919921875022,2.418337322950897,SELL,3,5
2026-03-30 00:00:00+05:30,21884.772382812498,23997.349609375,2112.577226562502,9.653183453813954,BUY,5,1
2026-03-30 00:00:00+05:30,22108.08638671875,23997.349609375,1889.2632226562491,8.545575540139053,BUY,5,2
2026-03-30 00:00:00+05:30,22331.400390625,23997.349609375,1665.94921875,7.460119784737667,BUY,5,3
2026-03-30 00:00:00+05:30,22554.71439453125,23997.349609375,1442.6352148437509,6.396158202710564,BUY,5,4
2026-03-30 00:00:00+05:30,22778.028398437502,23997.349609375,1219.321210937498,5.3530586124878985,BUY,5,5
2026-04-01 00:00:00+05:30,22225.8123828125,23775.099609375,1549.287226562501,6.970666358007163,BUY,5,1
2026-04-01 00:00:00+05:30,22452.60638671875,23775.099609375,1322.4932226562487,5.89015457661314,BUY,5,2
2026-04-01 00:00:00+05:30,22679.400390625,23775.099609375,1095.69921875,4.831253030847014,BUY,5,3
2026-04-01 00:00:00+05:30,22225.8123828125,23123.650390625,897.838007812501,4.039618405610273,BUY,3,4
2026-04-01 00:00:00+05:30,22906.19439453125,23775.099609375,868.9052148437513,3.793319832521803,BUY,5,5
2026-04-02 00:00:00+05:30,22258.8376171875,24050.599609375,1791.7619921875012,8.049665589024132,BUY,5,1
2026-04-02 00:00:00+05:30,22258.8376171875,23997.349609375,1738.5119921875012,7.81043476791925,BUY,3,2
2026-04-02 00:00:00+05:30,22485.96861328125,24050.599609375,1564.6309960937506,6.958254825498633,BUY,5,3
2026-04-02 00:00:00+05:30,22485.96861328125,23997.349609375,1511.3809960937506,6.7214404773342045,BUY,3,4
2026-04-02 00:00:00+05:30,22713.099609375,24050.599609375,1337.5,5.888672277243644,BUY,5,5
2026-04-06 00:00:00+05:30,22508.885,23997.349609375,1488.4646093750016,6.612786947798622,BUY,2,1
2026-04-06 00:00:00+05:30,22508.885,23842.650390625,1333.7653906250016,5.925506263970879,BUY,5,2
2026-04-06 00:00:00+05:30,22508.885,23775.099609375,1266.2146093750016,5.625399078519446,BUY,3,3
2026-04-06 00:00:00+05:30,22738.5675,23997.349609375,1258.782109374999,5.535890109942057,BUY,2,4
2026-04-06 00:00:00+05:30,22738.5675,23842.650390625,1104.082890624999,4.855551655243889,BUY,5,5
2026-04-07 00:00:00+05:30,22661.1773828125,24231.30078125,1570.1233984374994,6.928692944385001,BUY,5,1
2026-04-07 00:00:00+05:30,22661.1773828125,24050.599609375,1389.4222265624994,6.131288781210083,BUY,3,2
2026-04-07 00:00:00+05:30,22892.41388671875,24231.30078125,1338.8868945312497,5.848605136865962,BUY,5,3
2026-04-07 00:00:00+05:30,22661.1773828125,23997.349609375,1336.1722265624994,5.896305403689778,BUY,1,4
2026-04-07 00:00:00+05:30,22892.41388671875,24050.599609375,1158.1857226562497,5.05925556119786,BUY,3,5
2026-04-08 00:00:00+05:30,24477.2966015625,23775.099609375,702.1969921874988,2.868768572027167,SELL,1,1
2026-04-08 00:00:00+05:30,23517.4026171875,24196.75,679.3473828124988,2.8887007373680094,BUY,5,2
2026-04-08 00:00:00+05:30,24477.2966015625,23842.650390625,634.6462109374988,2.5927953616290553,SELL,3,3
2026-04-08 00:00:00+05:30,23517.4026171875,24050.599609375,533.1969921874988,2.267244392872775,BUY,2,4
2026-04-08 00:00:00+05:30,24237.32310546875,23775.099609375,462.2234960937494,1.907073211354171,SELL,1,5
2026-04-09 00:00:00+05:30,23299.5976171875,24353.55078125,1053.9531640624991,4.523482256556335,BUY,5,1
2026-04-09 00:00:00+05:30,23299.5976171875,24231.30078125,931.7031640624991,3.998795083805251,BUY,3,2
2026-04-09 00:00:00+05:30,23537.34861328125,24353.55078125,816.2021679687496,3.467689506490111,BUY,5,3
2026-04-09 00:00:00+05:30,23299.5976171875,24050.599609375,751.0019921874991,3.2232401800514556,BUY,1,4
2026-04-09 00:00:00+05:30,23537.34861328125,24231.30078125,693.9521679687496,2.948302204170856,BUY,3,5
2026-04-10 00:00:00+05:30,23569.5876171875,24364.849609375,795.2619921875012,3.374102275797042,BUY,5,1
2026-04-10 00:00:00+05:30,24531.6116015625,23842.650390625,688.9612109375012,2.808462901367715,SELL,1,2
2026-04-10 00:00:00+05:30,23569.5876171875,24231.30078125,661.7131640625012,2.8074872365605765,BUY,2,3
2026-04-10 00:00:00+05:30,23569.5876171875,24196.75,627.1623828125012,2.660896715711562,BUY,3,4
2026-04-10 00:00:00+05:30,23810.09361328125,24364.849609375,554.7559960937506,2.329919424526362,BUY,5,5
2026-04-13 00:00:00+05:30,23365.7973828125,24576.599609375,1210.8022265625004,5.1819426776898565,BUY,5,1
2026-04-13 00:00:00+05:30,23365.7973828125,24353.55078125,987.7533984375004,4.227347272830825,BUY,3,2
2026-04-13 00:00:00+05:30,23604.22388671875,24576.599609375,972.3757226562484,4.1194988122586365,BUY,5,3
2026-04-13 00:00:00+05:30,23365.7973828125,24231.30078125,865.5033984375004,3.7041466390278237,BUY,1,4
2026-04-13 00:00:00+05:30,23365.7973828125,24196.75,830.9526171875004,3.5562775948692242,BUY,2,5
2026-04-15 00:00:00+05:30,23746.674765625,24378.099609375,631.4248437499991,2.6590032077418746,BUY,5,1
2026-04-15 00:00:00+05:30,23746.674765625,24364.849609375,618.1748437499991,2.603205921887014,BUY,3,2
2026-04-15 00:00:00+05:30,23746.674765625,24353.55078125,606.8760156249991,2.5556252469650835,BUY,2,3
2026-04-15 00:00:00+05:30,24715.926796875,24196.75,519.1767968749991,2.100575880248367,SELL,1,4
2026-04-15 00:00:00+05:30,23746.674765625,24196.75,450.0752343749991,1.895318981782304,BUY,1,5
2026-04-16 00:00:00+05:30,23712.815,24576.599609375,863.7846093750013,3.64269113293804,BUY,3,1
2026-04-16 00:00:00+05:30,23712.815,24364.849609375,652.0346093750013,2.749714065474729,BUY,2,2
2026-04-16 00:00:00+05:30,23712.815,24353.55078125,640.7357812500013,2.7020654496313545,BUY,1,3
2026-04-16 00:00:00+05:30,23954.7825,24576.599609375,621.8171093749988,2.595795262908352,BUY,3,4
2026-04-16 00:00:00+05:30,24680.685,24173.05078125,507.6342187500013,2.0568076564730733,SELL,5,5
2026-04-17 00:00:00+05:30,24840.621796875,23897.94921875,942.6725781249988,3.794883178985435,SELL,5,1
2026-04-17 00:00:00+05:30,23866.479765625,24576.599609375,710.1198437499988,2.975385774205326,BUY,2,2
2026-04-17 00:00:00+05:30,24597.0862890625,23897.94921875,699.1370703124994,2.842357269866481,SELL,5,3
2026-04-17 00:00:00+05:30,23866.479765625,24378.099609375,511.61984374999884,2.143675350425525,BUY,3,4
2026-04-17 00:00:00+05:30,23866.479765625,24364.849609375,498.36984374999884,2.0881581558911053,BUY,1,5
2026-04-20 00:00:00+05:30,24852.1466015625,24092.69921875,759.447382812501,3.05586231639545,SELL,5,1
2026-04-20 00:00:00+05:30,23877.5526171875,24576.599609375,699.046992187501,2.927632506542208,BUY,1,2
2026-04-20 00:00:00+05:30,24852.1466015625,24173.05078125,679.095820312501,2.7325439174328907,SELL,3,3
2026-04-20 00:00:00+05:30,24608.49810546875,24092.69921875,515.7988867187487,2.0960193690330198,SELL,5,4
2026-04-20 00:00:00+05:30,23877.5526171875,24378.099609375,500.546992187501,2.096307775811153,BUY,2,5
2026-04-21 00:00:00+05:30,25068.1316015625,23897.94921875,1170.1823828125016,4.6680079768671865,SELL,3,1
2026-04-21 00:00:00+05:30,25068.1316015625,23995.69921875,1072.4323828125016,4.278070659026127,SELL,5,2
2026-04-21 00:00:00+05:30,24822.36560546875,23897.94921875,924.416386718749,3.7241268677272474,SELL,3,3
2026-04-21 00:00:00+05:30,25068.1316015625,24173.05078125,895.0808203125016,3.5705924738990564,SELL,2,4
2026-04-21 00:00:00+05:30,24822.36560546875,23995.69921875,826.666386718749,3.330328784363009,SELL,5,5
2026-04-22 00:00:00+05:30,24865.6616015625,23897.94921875,967.7123828125004,3.89176205451011,SELL,2,1
2026-04-22 00:00:00+05:30,24865.6616015625,24092.69921875,772.9623828125004,3.108553454953836,SELL,3,2
2026-04-22 00:00:00+05:30,24621.88060546875,23897.94921875,723.9313867187484,2.9401953421785194,SELL,2,3
2026-04-22 00:00:00+05:30,24865.6616015625,24173.05078125,692.6108203125004,2.785410786210403,SELL,1,4
2026-04-22 00:00:00+05:30,24865.6616015625,24177.650390625,688.0112109375004,2.7669129499223435,SELL,5,5
2026-04-23 00:00:00+05:30,24656.511796875002,23897.94921875,758.5625781250019,3.0765202489881114,SELL,1,1
2026-04-23 00:00:00+05:30,24656.511796875002,23995.69921875,660.8125781250019,2.6800732543552823,SELL,3,2
2026-04-23 00:00:00+05:30,24656.511796875002,23997.55078125,658.9610156250019,2.6725638283859743,SELL,5,3
2026-04-23 00:00:00+05:30,24656.511796875002,24092.69921875,563.8125781250019,2.286668052520147,SELL,2,4
2026-04-23 00:00:00+05:30,24414.7812890625,23897.94921875,516.8320703124991,2.116881835611745,SELL,1,5
