,actual,predicted
367,1918.6999443769455,1937.2174892425537
368,1919.1999599933624,1937.0534572601318
369,1917.9999891519547,1936.898036956787
370,1913.9999923706055,1936.8193784952164
371,1911.900024175644,1936.8274775743484
372,1913.5999850034714,1936.8236074447632
373,1914.999997973442,1936.7905960083008
374,1917.499999165535,1936.7499468326569
375,1917.9999891519547,1936.6908696889877
376,1918.9999947547913,1936.5811220407486
377,1917.499999165535,1936.461609363556
378,1920.0000003576279,1936.313749909401
379,1920.0999829769135,1936.1549208164215
380,1923.9000145196915,1936.0054723024368
381,1922.3000363111496,1935.862277507782
382,1919.699949979782,1935.76114153862
383,1921.6999611854553,1935.679817557335
384,1918.3000395298004,1935.6106165647507
385,1916.6999588012695,1935.5747858285904
386,1917.8000495433807,1935.5123255252838
387,1915.0999805927277,1935.4109845161438
388,1918.1999543905258,1935.2648935317993
389,1917.9000321626663,1935.0544199943542
390,1914.099974989891,1934.7622380256653
391,1915.8000383377075,1934.460419178009
392,1915.3000483512878,1934.0085110664368
393,1914.999997973442,1933.602378129959
394,1914.999997973442,1933.1107947826385
395,1914.1999576091766,1932.5677976608276
396,1912.4000141620636,1931.9908151626587
397,1913.9999923706055,1931.4961049556732
398,1916.40003657341,1931.055115222931
399,1920.0000003576279,1930.7242319583893
400,1917.9999891519547,1930.4265395402908
401,1922.9999915361404,1930.1909229755402
402,1921.4999959468842,1930.0234822034836
403,1920.0000003576279,1929.9035081863403
404,1925.6999579668045,1929.77856194973
405,1922.5000015497208,1929.6605614423752
406,1926.0000083446503,1929.5757774114609
407,1922.5000015497208,1929.5195451974869
408,1921.1999455690384,1929.456034064293
409,1921.5999785661697,1929.3545649051666
410,1921.4999959468842,1929.3137875795364
411,1922.4000189304352,1929.2445865869522
412,1924.900020122528,1929.1721305847168
413,1922.5999841690063,1929.1096702814102
414,1923.4000245332718,1929.057256937027
415,1922.9999915361404,1929.0038183927536
416,1922.000011563301,1928.9540193080902
417,1920.1999399662018,1928.9056298732758
418,1924.699952363968,1928.8557795286179
419,1923.6999467611313,1928.8261256217957
420,1929.3000499010086,1928.8104400634766
421,1928.9999995231628,1928.8330969810486
422,1926.0999653339386,1928.934386730194
423,1928.9000169038773,1929.0156594514847
424,1932.3000410795212,1929.096188902855
425,1932.9000136852264,1929.237384557724
426,1935.9999874830246,1929.4954017400742
427,1939.8000446557999,1929.812137246132
428,1937.300043463707,1930.2185008525848
429,1935.0000075101852,1930.6936297416687
